order_id,order_date,customer_id,region,product,category,unit_price,unit_cost,quantity,discount,shipping_cost
O00044,2025-09-28,C2234,East,Keyboard,Electronics,1800,1000,4,0.0,40
O00045,2025-08-05,C1832,South,Laptop,Electronics,50000,41000,4,0.2,100
O00046,2025-06-23,C0333,North,Backpack,Accessories,1800,850,4,0.0,100
O00047,2025-02-11,C1610,North,Office Chair,Furniture,6500,4300,2,0.0,100
O00048,2025-07-28,C2196,South,Backpack,Accessories,1800,850,3,0.1,70
O00049,2025-03-05,C0321,West,Notebook,Stationery,150,65,4,0.1,40
O00050,2025-04-25,C2097,South,Pen Set,Stationery,250,110,4,0.1,70
O00051,2025-06-01,C0264,North,Pen Set,Stationery,250,110,2,0.3,150
O00052,2025-02-21,C2178,South,Headphones,Electronics,2500,1350,3,0.0,70
O00053,2025-05-23,C1973,West,Keyboard,Electronics,1800,1000,2,0.3,40
O00054,2025-04-08,C0380,West,Office Chair,Furniture,6500,4300,2,0.0,70
O00055,2025-11-07,C1817,West,Office Chair,Furniture,6500,4300,3,0.0,70
O00056,2025-11-10,C0292,West,Laptop,Electronics,50000,41000,2,0.0,100
O00057,2025-01-02,C1421,East,Desk,Furniture,9000,6300,1,0.0,100
O00058,2025-08-08,C2310,West,Headphones,Electronics,2500,1350,3,0.05,70
O00059,2025-08-22,C0515,North,Notebook,Stationery,150,65,2,0.2,40
O00060,2025-05-18,C0435,West,Notebook,Stationery,150,65,3,0.2,70
O00061,2025-06-21,C1058,West,Backpack,Accessories,1800,850,2,0.1,40
O00062,2025-10-16,C0922,West,Notebook,Stationery,150,65,4,0.0,100
O00063,2025-05-18,C0122,South,Keyboard,Electronics,1800,1000,4,0.2,70
O00064,2025-01-24,C1140,West,Backpack,Accessories,1800,850,2,0.05,70
O00065,2025-05-16,C0649,North,Office Chair,Furniture,6500,4300,3,0.1,100
O00066,2025-04-03,C0312,East,Keyboard,Electronics,1800,1000,1,0.1,150
O00067,2025-05-20,C0691,South,Backpack,Accessories,1800,850,4,0.0,70
O00068,2025-03-25,C0052,South,Keyboard,Electronics,1800,1000,1,0.1,100
O00069,2025-02-24,C2288,East,Laptop,Electronics,50000,41000,4,0.3,100
O00070,2025-12-26,C2486,South,Office Chair,Furniture,6500,4300,4,0.0,100
O00071,2025-02-17,C0920,North,Pen Set,Stationery,250,110,1,0.1,70
O00072,2025-09-15,C2192,South,Headphones,Electronics,2500,1350,1,0.3,40
O00073,2025-09-19,C1154,East,Office Chair,Furniture,6500,4300,3,0.05,40
O00074,2025-08-14,C2281,East,Headphones,Electronics,2500,1350,4,0.05,40
O00075,2025-11-29,C0433,East,Notebook,Stationery,150,65,3,0.05,40
O00076,2025-01-02,C0712,North,Office Chair,Furniture,6500,4300,1,0.2,150
O00077,2025-04-21,C1850,West,Keyboard,Electronics,1800,1000,3,0.05,40
O00078,2025-03-09,C0551,East,Headphones,Electronics,2500,1350,2,0.05,150
O00079,2025-07-30,C2059,North,Desk,Furniture,9000,6300,4,0.0,150
O00080,2025-08-20,C1065,South,Notebook,Stationery,150,65,4,0.3,40
O00081,2025-11-24,C1010,South,Backpack,Accessories,1800,850,4,0.2,70
O00082,2025-05-19,C1134,South,Office Chair,Furniture,6500,4300,2,0.1,70
O00083,2025-03-28,C1995,North,Headphones,Electronics,2500,1350,2,0.3,70
O00084,2025-12-04,C0014,North,Pen Set,Stationery,250,110,4,0.1,70
O00085,2025-09-03,C1877,North,Notebook,Stationery,150,65,1,0.3,70
O00086,2025-10-07,C1949,North,Notebook,Stationery,150,65,1,0.0,100
O00087,2025-06-12,C2053,North,Laptop,Electronics,50000,41000,1,0.0,70
O00088,2025-06-13,C2492,West,Keyboard,Electronics,1800,1000,3,0.2,40
O00089,2025-05-23,C1956,South,Pen Set,Stationery,250,110,1,0.05,70
O00090,2025-10-01,C1322,South,Pen Set,Stationery,250,110,3,0.05,150
O00091,2025-03-18,C1166,East,Office Chair,Furniture,6500,4300,1,0.2,150
O00092,2025-12-23,C0971,South,Pen Set,Stationery,250,110,4,0.1,40
O00093,2025-03-06,C2068,North,Pen Set,Stationery,250,110,2,0.05,100
O00094,2025-06-18,C0982,North,Office Chair,Furniture,6500,4300,1,0.05,150
O00095,2025-04-25,C1432,North,Backpack,Accessories,1800,850,3,0.05,40
O00096,2025-08-23,C0241,South,Keyboard,Electronics,1800,1000,2,0.0,40
O00097,2025-09-06,C0794,South,Headphones,Electronics,2500,1350,2,0.0,40
O00098,2025-12-02,C0666,South,Notebook,Stationery,150,65,3,0.1,70
O00099,2025-10-16,C1088,South,Notebook,Stationery,150,65,4,0.2,150
O00100,2025-04-01,C1256,West,Headphones,Electronics,2500,1350,4,0.05,70
O00101,2025-03-17,C1792,South,Pen Set,Stationery,250,110,2,0.05,70
O00102,2025-11-20,C1080,South,Headphones,Electronics,2500,1350,4,0.1,70
O00103,2025-06-28,C0376,South,Pen Set,Stationery,250,110,1,0.0,70
O00104,2025-02-05,C1363,East,Laptop,Electronics,50000,41000,4,0.05,150
O00105,2025-10-29,C0137,East,Pen Set,Stationery,250,110,4,0.0,40
O00106,2025-08-25,C2123,East,Pen Set,Stationery,250,110,3,0.1,70
O00107,2025-01-10,C1927,North,Pen Set,Stationery,250,110,3,0.0,100
O00108,2025-10-13,C0564,South,Notebook,Stationery,150,65,3,0.05,40
O00109,2025-08-10,C0659,West,Office Chair,Furniture,6500,4300,1,0.1,40
O00110,2025-08-13,C0070,South,Notebook,Stationery,150,65,4,0.2,150
O00111,2025-11-12,C0912,West,Keyboard,Electronics,1800,1000,3,0.1,70
O00112,2025-06-30,C0096,South,Pen Set,Stationery,250,110,4,0.3,40
O00113,2025-06-18,C2341,South,Desk,Furniture,9000,6300,1,0.1,70
O00114,2025-08-14,C0336,South,Office Chair,Furniture,6500,4300,4,0.05,40
O00115,2025-03-14,C1649,South,Desk,Furniture,9000,6300,2,0.0,40
O00116,2025-02-25,C1427,West,Desk,Furniture,9000,6300,4,0.0,40
O00117,2025-11-04,C0593,North,Laptop,Electronics,50000,41000,4,0.0,100
O00118,2025-03-20,C2021,South,Headphones,Electronics,2500,1350,4,0.0,70
O00119,2025-07-04,C0273,East,Headphones,Electronics,2500,1350,4,0.05,70
O00120,2025-04-09,C2218,West,Laptop,Electronics,50000,41000,1,0.1,150
O00121,2025-03-26,C1851,East,Office Chair,Furniture,6500,4300,2,0.1,70
O00122,2025-08-07,C1588,West,Notebook,Stationery,150,65,2,0.05,40
O00123,2025-10-20,C2200,West,Notebook,Stationery,150,65,3,0.1,40
O00124,2025-06-11,C1008,South,Office Chair,Furniture,6500,4300,4,0.0,100
O00125,2025-02-20,C0705,West,Pen Set,Stationery,250,110,3,0.1,100
O00126,2025-03-31,C0387,West,Desk,Furniture,9000,6300,3,0.1,70
O00127,2025-03-02,C2311,North,Laptop,Electronics,50000,41000,4,0.05,40
O00128,2025-11-19,C1004,East,Pen Set,Stationery,250,110,1,0.0,40
O00129,2025-04-27,C2074,North,Desk,Furniture,9000,6300,3,0.3,70
O00130,2025-05-17,C0832,East,Notebook,Stationery,150,65,3,0.1,100
O00131,2025-01-26,C2388,North,Desk,Furniture,9000,6300,1,0.1,100
O00132,2025-06-12,C2176,East,Desk,Furniture,9000,6300,3,0.0,100
O00133,2025-11-30,C0771,South,Laptop,Electronics,50000,41000,4,0.0,40
O00134,2025-05-30,C1217,South,Desk,Furniture,9000,6300,4,0.05,100
O00135,2025-08-26,C1985,North,Pen Set,Stationery,250,110,4,0.3,150
O00136,2025-03-08,C0566,East,Keyboard,Electronics,1800,1000,4,0.0,40
O00137,2025-02-22,C0060,South,Desk,Furniture,9000,6300,2,0.05,100
O00138,2025-09-25,C0723,East,Laptop,Electronics,50000,41000,1,0.3,40
O00139,2025-01-24,C1477,South,Keyboard,Electronics,1800,1000,4,0.05,150
O00140,2025-06-13,C0342,North,Office Chair,Furniture,6500,4300,2,0.05,100
O00141,2025-04-26,C0834,South,Backpack,Accessories,1800,850,3,0.1,100
O00142,2025-01-06,C2297,West,Headphones,Electronics,2500,1350,1,0.05,100
O00143,2025-07-13,C0188,North,Keyboard,Electronics,1800,1000,4,0.3,100
O00144,2025-12-18,C0126,East,Office Chair,Furniture,6500,4300,4,0.0,70
O00145,2025-01-26,C1060,North,Backpack,Accessories,1800,850,4,0.2,150
O00146,2025-10-25,C0033,East,Pen Set,Stationery,250,110,1,0.0,40
O00147,2025-07-16,C0070,North,Laptop,Electronics,50000,41000,4,0.2,150
O00148,2025-09-22,C0458,South,Headphones,Electronics,2500,1350,3,0.2,150
O00149,2025-02-05,C0256,South,Pen Set,Stationery,250,110,1,0.2,150
O00150,2025-11-14,C2028,North,Laptop,Electronics,50000,41000,3,0.2,40
O00151,2025-01-05,C0307,South,Pen Set,Stationery,250,110,2,0.1,70
O00152,2025-11-27,C1309,South,Keyboard,Electronics,1800,1000,3,0.0,100
O00153,2025-08-29,C1764,South,Backpack,Accessories,1800,850,1,0.0,100
O00154,2025-05-04,C1565,West,Keyboard,Electronics,1800,1000,3,0.05,100
O00155,2025-01-03,C1635,South,Office Chair,Furniture,6500,4300,3,0.05,100
O00156,2025-08-11,C0895,West,Notebook,Stationery,150,65,3,0.05,40
O00157,2025-02-01,C2223,South,Headphones,Electronics,2500,1350,4,0.1,150
O00158,2025-08-11,C0172,North,Desk,Furniture,9000,6300,3,0.1,70
O00159,2025-10-10,C0269,North,Desk,Furniture,9000,6300,3,0.3,150
O00160,2025-04-08,C2141,South,Pen Set,Stationery,250,110,1,0.05,100
O00161,2025-03-29,C0171,South,Backpack,Accessories,1800,850,4,0.2,100
O00162,2025-03-23,C0480,West,Notebook,Stationery,150,65,2,0.1,100
O00163,2025-03-24,C0433,East,Office Chair,Furniture,6500,4300,3,0.3,150
O00164,2025-02-11,C0083,South,Office Chair,Furniture,6500,4300,3,0.2,150
O00165,2025-04-02,C0293,South,Office Chair,Furniture,6500,4300,4,0.0,100
O00166,2025-08-29,C1432,South,Pen Set,Stationery,250,110,2,0.0,100
O00167,2025-04-21,C1653,East,Keyboard,Electronics,1800,1000,2,0.3,40
O00168,2025-10-13,C0209,North,Headphones,Electronics,2500,1350,4,0.1,40
O00169,2025-10-27,C2356,North,Keyboard,Electronics,1800,1000,3,0.2,100
O00170,2025-10-05,C0240,South,Laptop,Electronics,50000,41000,2,0.2,70
O00171,2025-07-16,C1718,North,Laptop,Electronics,50000,41000,2,0.1,70
O00172,2025-04-26,C2001,East,Laptop,Electronics,50000,41000,4,0.2,100
O00173,2025-12-06,C1302,North,Pen Set,Stationery,250,110,4,0.3,40
O00174,2025-03-16,C1230,North,Notebook,Stationery,150,65,1,0.3,70
O00175,2025-06-19,C0273,West,Notebook,Stationery,150,65,2,0.05,40
O00176,2025-06-15,C0604,West,Office Chair,Furniture,6500,4300,4,0.0,150
O00177,2025-09-30,C2127,South,Notebook,Stationery,150,65,1,0.0,100
O00178,2025-07-19,C0872,South,Headphones,Electronics,2500,1350,1,0.05,40
O00179,2025-10-19,C0087,East,Backpack,Accessories,1800,850,1,0.2,100
O00180,2025-12-02,C1824,North,Desk,Furniture,9000,6300,3,0.2,40
O00181,2025-05-23,C1710,South,Backpack,Accessories,1800,850,2,0.05,150
O00182,2025-11-16,C0166,North,Headphones,Electronics,2500,1350,2,0.05,40
O00183,2025-03-03,C0128,South,Office Chair,Furniture,6500,4300,1,0.1,70
O00184,2025-12-01,C0292,West,Notebook,Stationery,150,65,3,0.2,150
O00185,2025-03-06,C0128,East,Office Chair,Furniture,6500,4300,4,0.1,100
O00186,2025-11-07,C1541,West,Office Chair,Furniture,6500,4300,1,0.0,100
O00187,2025-05-23,C0332,East,Headphones,Electronics,2500,1350,3,0.05,100
O00188,2025-12-19,C1518,East,Office Chair,Furniture,6500,4300,4,0.1,100
O00189,2025-02-17,C0441,East,Headphones,Electronics,2500,1350,3,0.1,40
O00190,2025-06-19,C2432,East,Keyboard,Electronics,1800,1000,3,0.2,70
O00191,2025-11-26,C1815,South,Notebook,Stationery,150,65,1,0.3,150
O00192,2025-01-18,C0937,North,Notebook,Stationery,150,65,4,0.0,150
O00193,2025-04-07,C1072,South,Desk,Furniture,9000,6300,4,0.0,100
O00194,2025-01-31,C0163,North,Keyboard,Electronics,1800,1000,3,0.05,150
O00195,2025-04-28,C0138,South,Backpack,Accessories,1800,850,4,0.0,150
O00196,2025-05-23,C1344,North,Laptop,Electronics,50000,41000,3,0.05,70
O00197,2025-08-14,C0057,South,Keyboard,Electronics,1800,1000,3,0.0,100
O00198,2025-04-05,C1596,North,Laptop,Electronics,50000,41000,4,0.0,150
O00199,2025-02-27,C0957,North,Keyboard,Electronics,1800,1000,1,0.2,40
O00200,2025-03-04,C0350,South,Backpack,Accessories,1800,850,1,0.0,150
O00201,2025-12-09,C1340,North,Keyboard,Electronics,1800,1000,1,0.2,70
O00202,2025-12-14,C1383,West,Backpack,Accessories,1800,850,3,0.05,70
O00203,2025-03-22,C1866,South,Office Chair,Furniture,6500,4300,1,0.05,70
O00204,2025-03-13,C0495,South,Notebook,Stationery,150,65,2,0.0,70
O00205,2025-01-20,C1369,North,Office Chair,Furniture,6500,4300,2,0.0,70
O00206,2025-12-17,C2112,West,Keyboard,Electronics,1800,1000,3,0.05,100
O00207,2025-09-15,C0675,East,Pen Set,Stationery,250,110,3,0.2,150
O00208,2025-10-05,C2088,South,Backpack,Accessories,1800,850,1,0.3,70
O00209,2025-04-17,C1809,North,Keyboard,Electronics,1800,1000,3,0.0,40
O00210,2025-08-22,C1075,East,Pen Set,Stationery,250,110,2,0.0,150
O00211,2025-01-22,C2208,West,Keyboard,Electronics,1800,1000,1,0.0,70
O00212,2025-09-04,C2417,South,Notebook,Stationery,150,65,3,0.2,100
O00213,2025-07-31,C0593,North,Pen Set,Stationery,250,110,2,0.0,70
O00214,2025-05-01,C2450,North,Office Chair,Furniture,6500,4300,2,0.0,40
O00215,2025-09-17,C0007,North,Notebook,Stationery,150,65,4,0.2,70
O00216,2025-08-24,C0324,East,Keyboard,Electronics,1800,1000,1,0.2,70
O00217,2025-06-10,C0108,West,Laptop,Electronics,50000,41000,4,0.1,150
O00218,2025-03-10,C0920,West,Laptop,Electronics,50000,41000,2,0.0,100
O00219,2025-01-09,C2343,West,Office Chair,Furniture,6500,4300,4,0.05,100
O00220,2025-12-09,C1501,North,Backpack,Accessories,1800,850,4,0.0,40
O00221,2025-04-13,C1542,West,Headphones,Electronics,2500,1350,4,0.1,40
O00222,2025-04-21,C0213,South,Office Chair,Furniture,6500,4300,1,0.2,70
O00223,2025-09-06,C1291,South,Notebook,Stationery,150,65,4,0.0,150
O00224,2025-04-04,C0957,East,Headphones,Electronics,2500,1350,2,0.2,40
O00225,2025-05-18,C1199,North,Notebook,Stationery,150,65,4,0.05,150
O00226,2025-09-17,C0653,West,Keyboard,Electronics,1800,1000,4,0.2,150
O00227,2025-08-06,C0504,West,Pen Set,Stationery,250,110,3,0.0,70
O00228,2025-08-28,C2381,East,Desk,Furniture,9000,6300,4,0.05,40
O00229,2025-01-02,C1397,West,Desk,Furniture,9000,6300,3,0.0,40
O00230,2025-06-14,C1029,South,Headphones,Electronics,2500,1350,1,0.1,40
O00231,2025-06-23,C0185,North,Office Chair,Furniture,6500,4300,4,0.0,150
O00232,2025-08-19,C1907,West,Pen Set,Stationery,250,110,3,0.05,150
O00233,2025-02-25,C1182,South,Laptop,Electronics,50000,41000,1,0.2,100
O00234,2025-02-28,C0967,West,Pen Set,Stationery,250,110,1,0.1,40
O00235,2025-10-06,C1668,North,Office Chair,Furniture,6500,4300,3,0.1,150
O00236,2025-09-03,C0330,South,Notebook,Stationery,150,65,4,0.1,100
O00237,2025-10-24,C1333,South,Notebook,Stationery,150,65,3,0.1,150
O00238,2025-04-09,C2158,East,Office Chair,Furniture,6500,4300,2,0.1,70
O00239,2025-12-31,C1160,West,Keyboard,Electronics,1800,1000,2,0.05,40
O00240,2025-04-10,C0002,West,Notebook,Stationery,150,65,2,0.0,150
O00241,2025-08-26,C0575,North,Headphones,Electronics,2500,1350,2,0.05,40
O00242,2025-03-01,C0140,South,Desk,Furniture,9000,6300,2,0.0,40
O00243,2025-12-02,C1251,North,Laptop,Electronics,50000,41000,1,0.05,40
O00244,2025-05-02,C0911,North,Notebook,Stationery,150,65,3,0.05,40
O00245,2025-10-20,C0332,South,Notebook,Stationery,150,65,1,0.0,100
O00246,2025-05-01,C1718,South,Laptop,Electronics,50000,41000,1,0.2,40
O00247,2025-10-16,C0442,South,Pen Set,Stationery,250,110,2,0.1,150
O00248,2025-06-15,C0855,South,Office Chair,Furniture,6500,4300,4,0.1,150
O00249,2025-01-23,C2470,East,Pen Set,Stationery,250,110,3,0.3,40
O00250,2025-03-11,C0166,West,Laptop,Electronics,50000,41000,2,0.0,150
O00251,2025-09-07,C0620,North,Headphones,Electronics,2500,1350,3,0.0,40
O00252,2025-03-12,C0795,South,Office Chair,Furniture,6500,4300,3,0.0,70
O00253,2025-04-11,C1272,East,Headphones,Electronics,2500,1350,2,0.1,100
O00254,2025-07-17,C0613,East,Keyboard,Electronics,1800,1000,4,0.0,40
O00255,2025-04-03,C2426,West,Notebook,Stationery,150,65,3,0.2,40
O00256,2025-02-17,C0014,North,Headphones,Electronics,2500,1350,1,0.05,40
O00257,2025-08-16,C2371,South,Notebook,Stationery,150,65,4,0.05,100
O00258,2025-09-09,C1338,West,Laptop,Electronics,50000,41000,1,0.1,40
O00259,2025-09-25,C0096,South,Headphones,Electronics,2500,1350,1,0.05,40
O00260,2025-12-11,C0292,South,Desk,Furniture,9000,6300,2,0.1,40
O00261,2025-02-15,C0258,West,Pen Set,Stationery,250,110,2,0.1,150
O00262,2025-06-05,C0719,North,Headphones,Electronics,2500,1350,4,0.2,150
O00263,2025-03-27,C0833,East,Keyboard,Electronics,1800,1000,3,0.1,150
O00264,2025-11-25,C1603,West,Backpack,Accessories,1800,850,1,0.05,40
O00265,2025-07-17,C0779,North,Backpack,Accessories,1800,850,2,0.05,70
O00266,2025-02-05,C1813,East,Desk,Furniture,9000,6300,4,0.1,150
O00267,2025-09-10,C0735,South,Office Chair,Furniture,6500,4300,3,0.05,100
O00268,2025-01-16,C0659,West,Keyboard,Electronics,1800,1000,3,0.05,40
O00269,2025-04-11,C0689,West,Desk,Furniture,9000,6300,3,0.0,40
O00270,2025-09-21,C0823,West,Desk,Furniture,9000,6300,3,0.1,150
O00271,2025-07-04,C2095,North,Keyboard,Electronics,1800,1000,1,0.0,150
O00272,2025-10-05,C0618,East,Laptop,Electronics,50000,41000,3,0.3,70
O00273,2025-07-28,C0684,West,Headphones,Electronics,2500,1350,3,0.0,40
O00274,2025-11-04,C2393,East,Backpack,Accessories,1800,850,1,0.05,40
O00275,2025-07-25,C1635,East,Office Chair,Furniture,6500,4300,3,0.0,40
O00276,2025-01-21,C0477,North,Office Chair,Furniture,6500,4300,1,0.0,150
O00277,2025-01-27,C2171,West,Office Chair,Furniture,6500,4300,1,0.05,150
O00278,2025-10-11,C0458,North,Pen Set,Stationery,250,110,4,0.1,70
O00279,2025-01-15,C0406,South,Laptop,Electronics,50000,41000,2,0.0,150
O00280,2025-05-18,C1113,West,Laptop,Electronics,50000,41000,2,0.0,150
O00281,2025-01-06,C1729,West,Keyboard,Electronics,1800,1000,3,0.0,150
O00282,2025-04-21,C0474,West,Office Chair,Furniture,6500,4300,3,0.05,150
O00283,2025-08-06,C1884,South,Notebook,Stationery,150,65,3,0.3,100
O00284,2025-03-05,C0392,North,Office Chair,Furniture,6500,4300,4,0.05,150
O00285,2025-06-20,C1955,South,Office Chair,Furniture,6500,4300,3,0.2,100
O00286,2025-12-30,C0240,North,Backpack,Accessories,1800,850,1,0.05,150
O00287,2025-01-26,C1162,West,Headphones,Electronics,2500,1350,1,0.05,70
O00288,2025-01-24,C1601,South,Desk,Furniture,9000,6300,2,0.2,40
O00289,2025-04-10,C0664,South,Desk,Furniture,9000,6300,2,0.0,100
O00290,2025-10-29,C1531,North,Office Chair,Furniture,6500,4300,2,0.2,70
O00291,2025-05-29,C1722,South,Pen Set,Stationery,250,110,1,0.05,70
O00292,2025-08-22,C1626,West,Keyboard,Electronics,1800,1000,1,0.05,100
O00293,2025-01-13,C0993,East,Backpack,Accessories,1800,850,1,0.3,100
O00294,2025-09-26,C1934,North,Keyboard,Electronics,1800,1000,4,0.05,70
O00295,2025-01-25,C1830,North,Desk,Furniture,9000,6300,2,0.3,40
O00296,2025-09-17,C0816,South,Desk,Furniture,9000,6300,4,0.3,100
O00297,2025-02-23,C1834,North,Pen Set,Stationery,250,110,2,0.0,70
O00298,2025-11-10,C2297,West,Office Chair,Furniture,6500,4300,2,0.05,40
O00299,2025-04-19,C2042,East,Keyboard,Electronics,1800,1000,2,0.2,40
O00300,2025-03-09,C1834,North,Laptop,Electronics,50000,41000,4,0.0,100
O00301,2025-05-03,C1917,West,Keyboard,Electronics,1800,1000,3,0.1,70
O00302,2025-01-01,C2012,South,Pen Set,Stationery,250,110,1,0.0,70
O00303,2025-03-02,C0723,North,Laptop,Electronics,50000,41000,2,0.0,40
O00304,2025-08-07,C1803,South,Backpack,Accessories,1800,850,4,0.1,40
O00305,2025-04-20,C0499,North,Desk,Furniture,9000,6300,1,0.1,100
O00306,2025-05-10,C0897,South,Headphones,Electronics,2500,1350,4,0.1,150
O00307,2025-10-22,C2337,West,Keyboard,Electronics,1800,1000,4,0.1,70
O00308,2025-02-15,C0708,West,Desk,Furniture,9000,6300,1,0.0,150
O00309,2025-05-25,C2110,South,Keyboard,Electronics,1800,1000,3,0.05,100
O00310,2025-03-09,C1057,East,Laptop,Electronics,50000,41000,3,0.0,70
O00311,2025-06-26,C0525,North,Notebook,Stationery,150,65,4,0.0,100
O00312,2025-05-02,C0243,South,Notebook,Stationery,150,65,4,0.05,40
O00313,2025-01-17,C1371,North,Laptop,Electronics,50000,41000,1,0.1,70
O00314,2025-01-26,C1129,South,Keyboard,Electronics,1800,1000,2,0.0,100
O00315,2025-11-08,C1279,North,Headphones,Electronics,2500,1350,4,0.0,150
O00316,2025-01-21,C0108,West,Notebook,Stationery,150,65,2,0.1,40
O00317,2025-10-13,C0671,West,Notebook,Stationery,150,65,1,0.0,150
O00318,2025-12-01,C0010,South,Notebook,Stationery,150,65,3,0.3,100
O00319,2025-06-20,C0757,East,Backpack,Accessories,1800,850,1,0.05,40
O00320,2025-04-24,C2329,North,Pen Set,Stationery,250,110,1,0.0,150
O00321,2025-10-11,C0381,East,Keyboard,Electronics,1800,1000,4,0.2,150
O00322,2025-12-25,C1724,North,Laptop,Electronics,50000,41000,1,0.1,70
O00323,2025-02-13,C0015,North,Desk,Furniture,9000,6300,4,0.2,40
O00324,2025-12-18,C1405,East,Backpack,Accessories,1800,850,1,0.05,70
O00325,2025-12-11,C2303,South,Backpack,Accessories,1800,850,1,0.05,150
O00326,2025-02-22,C0853,South,Headphones,Electronics,2500,1350,3,0.1,40
O00327,2025-01-20,C0493,South,Headphones,Electronics,2500,1350,1,0.05,70
O00328,2025-09-18,C1427,North,Laptop,Electronics,50000,41000,2,0.1,70
O00329,2025-01-29,C0698,North,Headphones,Electronics,2500,1350,2,0.0,40
O00330,2025-08-08,C2229,East,Desk,Furniture,9000,6300,3,0.05,100
O00331,2025-01-24,C2123,East,Desk,Furniture,9000,6300,2,0.0,150
O00332,2025-09-10,C1631,North,Keyboard,Electronics,1800,1000,1,0.2,40
O00333,2025-03-26,C1598,South,Keyboard,Electronics,1800,1000,1,0.05,150
O00334,2025-02-05,C1507,East,Pen Set,Stationery,250,110,1,0.3,150
O00335,2025-01-25,C1839,East,Office Chair,Furniture,6500,4300,1,0.0,150
O00336,2025-03-10,C1151,West,Pen Set,Stationery,250,110,3,0.05,100
O00337,2025-07-17,C2425,South,Backpack,Accessories,1800,850,2,0.05,70
O00338,2025-01-28,C0865,South,Keyboard,Electronics,1800,1000,1,0.1,40
O00339,2025-10-20,C0023,South,Headphones,Electronics,2500,1350,2,0.2,150
O00340,2025-08-09,C1747,South,Backpack,Accessories,1800,850,3,0.05,100
O00341,2025-04-19,C1656,North,Notebook,Stationery,150,65,2,0.05,70
