order_id,order_date,customer_id,region,product,category,unit_price,unit_cost,quantity,discount,shipping_cost,gross_sales,revenue,cost,profit,month,discount_band
O03009,2025-01-03,C2460,East,Notebook,Stationery,150,65,3,0.1,40,450,405.0,235,170.0,2025-01,Low (1-10%)
O03550,2025-01-03,C1711,South,Notebook,Stationery,150,65,2,0.1,100,300,270.0,230,40.0,2025-01,Low (1-10%)
O03691,2025-01-03,C0008,South,Office Chair,Furniture,6500,4300,2,0.0,40,13000,13000.0,8640,4360.0,2025-01,None
O03982,2025-01-03,C1403,North,Laptop,Electronics,50000,41000,2,0.05,150,100000,95000.0,82150,12850.0,2025-01,Low (1-10%)
O04062,2025-01-03,C1478,West,Laptop,Electronics,50000,41000,3,0.0,100,150000,150000.0,123100,26900.0,2025-01,None
O04787,2025-01-03,C0180,South,Desk,Furniture,9000,6300,4,0.05,40,36000,34200.0,25240,8960.0,2025-01,Low (1-10%)
O04848,2025-01-03,C2417,North,Laptop,Electronics,50000,41000,1,0.1,70,50000,45000.0,41070,3930.0,2025-01,Low (1-10%)
O04902,2025-01-03,C2355,East,Notebook,Stationery,150,65,2,0.0,100,300,300.0,230,70.0,2025-01,None
O05391,2025-01-03,C1458,East,Headphones,Electronics,2500,1350,3,0.05,40,7500,7125.0,4090,3035.0,2025-01,Low (1-10%)
O00591,2025-01-04,C0284,East,Pen Set,Stationery,250,110,3,0.05,150,750,712.5,480,232.5,2025-01,Low (1-10%)
O00754,2025-01-04,C0741,North,Backpack,Accessories,1800,850,4,0.0,40,7200,7200.0,3440,3760.0,2025-01,None
O01585,2025-01-04,C0188,South,Notebook,Stationery,150,65,3,0.0,70,450,450.0,265,185.0,2025-01,None
O01969,2025-01-04,C2491,East,Pen Set,Stationery,250,110,3,0.1,150,750,675.0,480,195.0,2025-01,Low (1-10%)
O03125,2025-01-04,C0311,West,Office Chair,Furniture,6500,4300,3,0.3,70,19500,13650.0,12970,680.0,2025-01,High (>10%)
O03676,2025-01-04,C1797,North,Office Chair,Furniture,6500,4300,2,0.2,100,13000,10400.0,8700,1700.0,2025-01,High (>10%)
O03932,2025-01-04,C2036,South,Laptop,Electronics,50000,41000,3,0.1,150,150000,135000.0,123150,11850.0,2025-01,Low (1-10%)
O05188,2025-01-04,C1142,South,Laptop,Electronics,50000,41000,3,0.2,100,150000,120000.0,123100,-3100.0,2025-01,High (>10%)
O05250,2025-01-04,C0858,South,Desk,Furniture,9000,6300,4,0.2,40,36000,28800.0,25240,3560.0,2025-01,High (>10%)
O05844,2025-01-04,C1869,East,Laptop,Electronics,50000,41000,4,0.2,100,200000,160000.0,164100,-4100.0,2025-01,High (>10%)
O00151,2025-01-05,C0307,South,Pen Set,Stationery,250,110,2,0.1,70,500,450.0,290,160.0,2025-01,Low (1-10%)
O00436,2025-01-05,C1740,South,Laptop,Electronics,50000,41000,4,0.1,100,200000,180000.0,164100,15900.0,2025-01,Low (1-10%)
O00642,2025-01-05,C0578,North,Backpack,Accessories,1800,850,3,0.0,70,5400,5400.0,2620,2780.0,2025-01,None
O00747,2025-01-05,C0805,East,Desk,Furniture,9000,6300,3,0.05,100,27000,25650.0,19000,6650.0,2025-01,Low (1-10%)
O01517,2025-01-05,C0711,North,Office Chair,Furniture,6500,4300,2,0.0,150,13000,13000.0,8750,4250.0,2025-01,None
O01581,2025-01-05,C0875,East,Keyboard,Electronics,1800,1000,1,0.0,100,1800,1800.0,1100,700.0,2025-01,None
O02610,2025-01-05,C1329,North,Pen Set,Stationery,250,110,4,0.3,40,1000,700.0,480,220.0,2025-01,High (>10%)
O03199,2025-01-05,C1008,South,Backpack,Accessories,1800,850,2,0.1,150,3600,3240.0,1850,1390.0,2025-01,Low (1-10%)
O03933,2025-01-05,C1695,South,Notebook,Stationery,150,65,2,0.2,40,300,240.0,170,70.0,2025-01,High (>10%)
O04610,2025-01-05,C1881,North,Office Chair,Furniture,6500,4300,4,0.0,40,26000,26000.0,17240,8760.0,2025-01,None
O04863,2025-01-05,C0524,South,Backpack,Accessories,1800,850,3,0.2,70,5400,4320.0,2620,1700.0,2025-01,High (>10%)
O05959,2025-01-05,C0732,West,Desk,Furniture,9000,6300,3,0.1,70,27000,24300.0,18970,5330.0,2025-01,Low (1-10%)
O00142,2025-01-06,C2297,West,Headphones,Electronics,2500,1350,1,0.05,100,2500,2375.0,1450,925.0,2025-01,Low (1-10%)
O00281,2025-01-06,C1729,West,Keyboard,Electronics,1800,1000,3,0.0,150,5400,5400.0,3150,2250.0,2025-01,None
O00471,2025-01-06,C0242,East,Notebook,Stationery,150,65,1,0.05,70,150,142.5,135,7.5,2025-01,Low (1-10%)
O00527,2025-01-06,C1127,South,Backpack,Accessories,1800,850,3,0.0,70,5400,5400.0,2620,2780.0,2025-01,None
O01135,2025-01-06,C1908,South,Desk,Furniture,9000,6300,4,0.0,100,36000,36000.0,25300,10700.0,2025-01,None
O01227,2025-01-06,C0415,East,Laptop,Electronics,50000,41000,3,0.0,100,150000,150000.0,123100,26900.0,2025-01,None
O01489,2025-01-06,C2400,West,Laptop,Electronics,50000,41000,3,0.0,40,150000,150000.0,123040,26960.0,2025-01,None
O01599,2025-01-06,C2380,North,Pen Set,Stationery,250,110,1,0.1,150,250,225.0,260,-35.0,2025-01,Low (1-10%)
O01602,2025-01-06,C1019,East,Notebook,Stationery,150,65,3,0.3,70,450,315.0,265,50.0,2025-01,High (>10%)
O01721,2025-01-06,C0831,North,Laptop,Electronics,50000,41000,1,0.05,100,50000,47500.0,41100,6400.0,2025-01,Low (1-10%)
O01992,2025-01-06,C2096,East,Office Chair,Furniture,6500,4300,3,0.0,40,19500,19500.0,12940,6560.0,2025-01,None
O02444,2025-01-06,C0496,North,Headphones,Electronics,2500,1350,3,0.1,70,7500,6750.0,4120,2630.0,2025-01,Low (1-10%)
O02509,2025-01-06,C1674,West,Office Chair,Furniture,6500,4300,1,0.2,40,6500,5200.0,4340,860.0,2025-01,High (>10%)
O02619,2025-01-06,C0427,North,Notebook,Stationery,150,65,1,0.2,40,150,120.0,105,15.0,2025-01,High (>10%)
O02836,2025-01-06,C2195,West,Desk,Furniture,9000,6300,3,0.1,100,27000,24300.0,19000,5300.0,2025-01,Low (1-10%)
O02991,2025-01-06,C1680,West,Office Chair,Furniture,6500,4300,2,0.0,150,13000,13000.0,8750,4250.0,2025-01,None
O03285,2025-01-06,C0135,East,Office Chair,Furniture,6500,4300,1,0.2,70,6500,5200.0,4370,830.0,2025-01,High (>10%)
O03632,2025-01-06,C0796,East,Desk,Furniture,9000,6300,3,0.0,40,27000,27000.0,18940,8060.0,2025-01,None
O03681,2025-01-06,C2311,West,Notebook,Stationery,150,65,2,0.0,100,300,300.0,230,70.0,2025-01,None
O04193,2025-01-06,C1112,North,Notebook,Stationery,150,65,4,0.0,150,600,600.0,410,190.0,2025-01,None
O05085,2025-01-06,C0719,East,Desk,Furniture,9000,6300,4,0.0,40,36000,36000.0,25240,10760.0,2025-01,None
O05324,2025-01-06,C0697,South,Office Chair,Furniture,6500,4300,1,0.1,70,6500,5850.0,4370,1480.0,2025-01,Low (1-10%)
O05372,2025-01-06,C0319,South,Notebook,Stationery,150,65,2,0.05,70,300,285.0,200,85.0,2025-01,Low (1-10%)
O05922,2025-01-06,C0610,East,Pen Set,Stationery,250,110,3,0.2,100,750,600.0,430,170.0,2025-01,High (>10%)
O01064,2025-01-07,C2481,North,Notebook,Stationery,150,65,4,0.3,70,600,420.0,330,90.0,2025-01,High (>10%)
O02655,2025-01-07,C0963,North,Pen Set,Stationery,250,110,2,0.1,40,500,450.0,260,190.0,2025-01,Low (1-10%)
O02674,2025-01-07,C1606,East,Headphones,Electronics,2500,1350,1,0.0,40,2500,2500.0,1390,1110.0,2025-01,None
O02683,2025-01-07,C1243,West,Office Chair,Furniture,6500,4300,3,0.1,100,19500,17550.0,13000,4550.0,2025-01,Low (1-10%)
O02945,2025-01-07,C0909,North,Pen Set,Stationery,250,110,3,0.2,150,750,600.0,480,120.0,2025-01,High (>10%)
O03002,2025-01-07,C1254,South,Notebook,Stationery,150,65,4,0.1,150,600,540.0,410,130.0,2025-01,Low (1-10%)
O03483,2025-01-07,C1958,North,Pen Set,Stationery,250,110,3,0.0,100,750,750.0,430,320.0,2025-01,None
O03547,2025-01-07,C1694,West,Office Chair,Furniture,6500,4300,3,0.3,40,19500,13650.0,12940,710.0,2025-01,High (>10%)
O03584,2025-01-07,C1252,East,Keyboard,Electronics,1800,1000,3,0.05,150,5400,5130.0,3150,1980.0,2025-01,Low (1-10%)
O04183,2025-01-07,C1849,North,Laptop,Electronics,50000,41000,2,0.1,70,100000,90000.0,82070,7930.0,2025-01,Low (1-10%)
O04357,2025-01-07,C1871,North,Backpack,Accessories,1800,850,4,0.1,70,7200,6480.0,3470,3010.0,2025-01,Low (1-10%)
O04463,2025-01-07,C1354,South,Desk,Furniture,9000,6300,2,0.1,70,18000,16200.0,12670,3530.0,2025-01,Low (1-10%)
O04915,2025-01-07,C0747,West,Pen Set,Stationery,250,110,3,0.1,100,750,675.0,430,245.0,2025-01,Low (1-10%)
O05144,2025-01-07,C2360,West,Desk,Furniture,9000,6300,1,0.05,40,9000,8550.0,6340,2210.0,2025-01,Low (1-10%)
O05519,2025-01-07,C0545,North,Desk,Furniture,9000,6300,1,0.05,100,9000,8550.0,6400,2150.0,2025-01,Low (1-10%)
O00893,2025-01-08,C0625,North,Desk,Furniture,9000,6300,2,0.2,40,18000,14400.0,12640,1760.0,2025-01,High (>10%)
O00918,2025-01-08,C1277,South,Pen Set,Stationery,250,110,2,0.1,150,500,450.0,370,80.0,2025-01,Low (1-10%)
O01610,2025-01-08,C2213,East,Headphones,Electronics,2500,1350,3,0.0,40,7500,7500.0,4090,3410.0,2025-01,None
O01758,2025-01-08,C1695,South,Desk,Furniture,9000,6300,3,0.0,150,27000,27000.0,19050,7950.0,2025-01,None
O02272,2025-01-08,C1692,South,Keyboard,Electronics,1800,1000,3,0.1,100,5400,4860.0,3100,1760.0,2025-01,Low (1-10%)
O02334,2025-01-08,C1795,South,Pen Set,Stationery,250,110,3,0.0,150,750,750.0,480,270.0,2025-01,None
O02496,2025-01-08,C0493,South,Headphones,Electronics,2500,1350,1,0.2,150,2500,2000.0,1500,500.0,2025-01,High (>10%)
O02637,2025-01-08,C0059,East,Keyboard,Electronics,1800,1000,1,0.0,100,1800,1800.0,1100,700.0,2025-01,None
O02806,2025-01-08,C0804,East,Backpack,Accessories,1800,850,4,0.3,70,7200,5040.0,3470,1570.0,2025-01,High (>10%)
O02900,2025-01-08,C1223,West,Headphones,Electronics,2500,1350,2,0.0,100,5000,5000.0,2800,2200.0,2025-01,None
O03073,2025-01-08,C1536,South,Headphones,Electronics,2500,1350,4,0.2,150,10000,8000.0,5550,2450.0,2025-01,High (>10%)
O03935,2025-01-08,C1443,West,Headphones,Electronics,2500,1350,3,0.0,40,7500,7500.0,4090,3410.0,2025-01,None
O04412,2025-01-08,C0927,North,Desk,Furniture,9000,6300,4,0.2,40,36000,28800.0,25240,3560.0,2025-01,High (>10%)
O05757,2025-01-08,C1509,North,Keyboard,Electronics,1800,1000,2,0.1,150,3600,3240.0,2150,1090.0,2025-01,Low (1-10%)
O05873,2025-01-08,C2353,West,Notebook,Stationery,150,65,2,0.3,100,300,210.0,230,-20.0,2025-01,High (>10%)
O00219,2025-01-09,C2343,West,Office Chair,Furniture,6500,4300,4,0.05,100,26000,24700.0,17300,7400.0,2025-01,Low (1-10%)
O00707,2025-01-09,C0981,East,Laptop,Electronics,50000,41000,1,0.1,150,50000,45000.0,41150,3850.0,2025-01,Low (1-10%)
O01586,2025-01-09,C1786,East,Keyboard,Electronics,1800,1000,4,0.1,150,7200,6480.0,4150,2330.0,2025-01,Low (1-10%)
O02175,2025-01-09,C0533,South,Headphones,Electronics,2500,1350,3,0.1,100,7500,6750.0,4150,2600.0,2025-01,Low (1-10%)
O02995,2025-01-09,C1807,North,Pen Set,Stationery,250,110,2,0.05,70,500,475.0,290,185.0,2025-01,Low (1-10%)
O03118,2025-01-09,C2136,East,Notebook,Stationery,150,65,2,0.05,40,300,285.0,170,115.0,2025-01,Low (1-10%)
O03373,2025-01-09,C1861,North,Keyboard,Electronics,1800,1000,4,0.2,70,7200,5760.0,4070,1690.0,2025-01,High (>10%)
O03718,2025-01-09,C2104,East,Keyboard,Electronics,1800,1000,1,0.05,70,1800,1710.0,1070,640.0,2025-01,Low (1-10%)
O04191,2025-01-09,C0030,North,Office Chair,Furniture,6500,4300,1,0.1,40,6500,5850.0,4340,1510.0,2025-01,Low (1-10%)
O04206,2025-01-09,C1872,South,Pen Set,Stationery,250,110,4,0.2,70,1000,800.0,510,290.0,2025-01,High (>10%)
O04374,2025-01-09,C0935,East,Pen Set,Stationery,250,110,2,0.0,100,500,500.0,320,180.0,2025-01,None
O04739,2025-01-09,C0778,West,Keyboard,Electronics,1800,1000,3,0.0,70,5400,5400.0,3070,2330.0,2025-01,None
O04861,2025-01-09,C0440,South,Laptop,Electronics,50000,41000,2,0.3,150,100000,70000.0,82150,-12150.0,2025-01,High (>10%)
O04998,2025-01-09,C1392,South,Pen Set,Stationery,250,110,1,0.2,100,250,200.0,210,-10.0,2025-01,High (>10%)
O05706,2025-01-09,C0339,North,Pen Set,Stationery,250,110,1,0.2,70,250,200.0,180,20.0,2025-01,High (>10%)
O00107,2025-01-10,C1927,North,Pen Set,Stationery,250,110,3,0.0,100,750,750.0,430,320.0,2025-01,None
O00369,2025-01-10,C1714,East,Laptop,Electronics,50000,41000,2,0.0,70,100000,100000.0,82070,17930.0,2025-01,None
O00384,2025-01-10,C0341,West,Headphones,Electronics,2500,1350,2,0.1,40,5000,4500.0,2740,1760.0,2025-01,Low (1-10%)
O00600,2025-01-10,C2413,South,Notebook,Stationery,150,65,4,0.05,100,600,570.0,360,210.0,2025-01,Low (1-10%)
O00616,2025-01-10,C2122,South,Notebook,Stationery,150,65,4,0.05,150,600,570.0,410,160.0,2025-01,Low (1-10%)
O00666,2025-01-10,C1274,East,Notebook,Stationery,150,65,1,0.1,150,150,135.0,215,-80.0,2025-01,Low (1-10%)
O01065,2025-01-10,C0768,South,Pen Set,Stationery,250,110,1,0.05,70,250,237.5,180,57.5,2025-01,Low (1-10%)
O01398,2025-01-10,C1805,South,Notebook,Stationery,150,65,3,0.0,40,450,450.0,235,215.0,2025-01,None
O01485,2025-01-10,C0763,North,Office Chair,Furniture,6500,4300,3,0.05,100,19500,18525.0,13000,5525.0,2025-01,Low (1-10%)
O02539,2025-01-10,C1703,West,Desk,Furniture,9000,6300,1,0.1,100,9000,8100.0,6400,1700.0,2025-01,Low (1-10%)
O02621,2025-01-10,C0578,West,Pen Set,Stationery,250,110,4,0.05,40,1000,950.0,480,470.0,2025-01,Low (1-10%)
O02669,2025-01-10,C1408,South,Laptop,Electronics,50000,41000,4,0.05,100,200000,190000.0,164100,25900.0,2025-01,Low (1-10%)
O02676,2025-01-10,C1221,North,Desk,Furniture,9000,6300,4,0.1,150,36000,32400.0,25350,7050.0,2025-01,Low (1-10%)
O02760,2025-01-10,C0877,South,Office Chair,Furniture,6500,4300,2,0.0,40,13000,13000.0,8640,4360.0,2025-01,None
O04060,2025-01-10,C1480,South,Desk,Furniture,9000,6300,4,0.2,40,36000,28800.0,25240,3560.0,2025-01,High (>10%)
O04231,2025-01-10,C1850,South,Laptop,Electronics,50000,41000,3,0.2,150,150000,120000.0,123150,-3150.0,2025-01,High (>10%)
O04962,2025-01-10,C0049,North,Desk,Furniture,9000,6300,2,0.0,70,18000,18000.0,12670,5330.0,2025-01,None
O05804,2025-01-10,C2254,North,Backpack,Accessories,1800,850,2,0.1,70,3600,3240.0,1770,1470.0,2025-01,Low (1-10%)
O00788,2025-01-11,C0334,South,Notebook,Stationery,150,65,3,0.0,150,450,450.0,345,105.0,2025-01,None
O00907,2025-01-11,C1099,South,Office Chair,Furniture,6500,4300,2,0.0,100,13000,13000.0,8700,4300.0,2025-01,None
O01011,2025-01-11,C0498,East,Keyboard,Electronics,1800,1000,4,0.0,100,7200,7200.0,4100,3100.0,2025-01,None
O01724,2025-01-11,C2265,North,Notebook,Stationery,150,65,4,0.05,70,600,570.0,330,240.0,2025-01,Low (1-10%)
O01823,2025-01-11,C0592,North,Keyboard,Electronics,1800,1000,3,0.0,70,5400,5400.0,3070,2330.0,2025-01,None
O02150,2025-01-11,C1992,East,Pen Set,Stationery,250,110,3,0.3,70,750,525.0,400,125.0,2025-01,High (>10%)
O02409,2025-01-11,C2189,South,Office Chair,Furniture,6500,4300,3,0.1,40,19500,17550.0,12940,4610.0,2025-01,Low (1-10%)
O02860,2025-01-11,C2323,South,Office Chair,Furniture,6500,4300,1,0.0,70,6500,6500.0,4370,2130.0,2025-01,None
O03084,2025-01-11,C0959,East,Headphones,Electronics,2500,1350,2,0.2,150,5000,4000.0,2850,1150.0,2025-01,High (>10%)
O03505,2025-01-11,C0488,South,Laptop,Electronics,50000,41000,2,0.05,150,100000,95000.0,82150,12850.0,2025-01,Low (1-10%)
O03631,2025-01-11,C1363,South,Office Chair,Furniture,6500,4300,3,0.0,70,19500,19500.0,12970,6530.0,2025-01,None
O04847,2025-01-11,C1634,East,Pen Set,Stationery,250,110,3,0.1,150,750,675.0,480,195.0,2025-01,Low (1-10%)
O05483,2025-01-11,C1820,West,Keyboard,Electronics,1800,1000,1,0.3,70,1800,1260.0,1070,190.0,2025-01,High (>10%)
O05790,2025-01-11,C0984,South,Backpack,Accessories,1800,850,1,0.0,150,1800,1800.0,1000,800.0,2025-01,None
O00573,2025-01-12,C1951,South,Keyboard,Electronics,1800,1000,2,0.05,70,3600,3420.0,2070,1350.0,2025-01,Low (1-10%)
O00702,2025-01-12,C1932,North,Desk,Furniture,9000,6300,1,0.1,150,9000,8100.0,6450,1650.0,2025-01,Low (1-10%)
O00917,2025-01-12,C2022,South,Desk,Furniture,9000,6300,3,0.05,100,27000,25650.0,19000,6650.0,2025-01,Low (1-10%)
O01284,2025-01-12,C2046,West,Pen Set,Stationery,250,110,2,0.0,150,500,500.0,370,130.0,2025-01,None
O01648,2025-01-12,C0084,West,Notebook,Stationery,150,65,3,0.05,40,450,427.5,235,192.5,2025-01,Low (1-10%)
O02294,2025-01-12,C0849,South,Notebook,Stationery,150,65,1,0.0,40,150,150.0,105,45.0,2025-01,None
O02331,2025-01-12,C0152,East,Laptop,Electronics,50000,41000,2,0.0,70,100000,100000.0,82070,17930.0,2025-01,None
O02464,2025-01-12,C0556,North,Desk,Furniture,9000,6300,4,0.05,70,36000,34200.0,25270,8930.0,2025-01,Low (1-10%)
O02514,2025-01-12,C1121,North,Pen Set,Stationery,250,110,3,0.0,40,750,750.0,370,380.0,2025-01,None
O03051,2025-01-12,C0313,South,Pen Set,Stationery,250,110,2,0.1,100,500,450.0,320,130.0,2025-01,Low (1-10%)
O03938,2025-01-12,C0219,South,Office Chair,Furniture,6500,4300,1,0.0,70,6500,6500.0,4370,2130.0,2025-01,None
O04723,2025-01-12,C1755,East,Backpack,Accessories,1800,850,1,0.0,100,1800,1800.0,950,850.0,2025-01,None
O04746,2025-01-12,C0515,West,Keyboard,Electronics,1800,1000,3,0.1,100,5400,4860.0,3100,1760.0,2025-01,Low (1-10%)
O04834,2025-01-12,C2358,West,Headphones,Electronics,2500,1350,1,0.05,70,2500,2375.0,1420,955.0,2025-01,Low (1-10%)
O04969,2025-01-12,C0942,North,Laptop,Electronics,50000,41000,3,0.0,70,150000,150000.0,123070,26930.0,2025-01,None
O05013,2025-01-12,C0721,West,Desk,Furniture,9000,6300,2,0.2,100,18000,14400.0,12700,1700.0,2025-01,High (>10%)
O05724,2025-01-12,C0969,East,Desk,Furniture,9000,6300,4,0.1,150,36000,32400.0,25350,7050.0,2025-01,Low (1-10%)
O00293,2025-01-13,C0993,East,Backpack,Accessories,1800,850,1,0.3,100,1800,1260.0,950,310.0,2025-01,High (>10%)
O00445,2025-01-13,C0690,East,Desk,Furniture,9000,6300,3,0.2,100,27000,21600.0,19000,2600.0,2025-01,High (>10%)
O00564,2025-01-13,C0672,East,Headphones,Electronics,2500,1350,1,0.0,70,2500,2500.0,1420,1080.0,2025-01,None
O00565,2025-01-13,C1893,East,Backpack,Accessories,1800,850,3,0.1,70,5400,4860.0,2620,2240.0,2025-01,Low (1-10%)
O00761,2025-01-13,C1283,West,Headphones,Electronics,2500,1350,4,0.1,100,10000,9000.0,5500,3500.0,2025-01,Low (1-10%)
O00908,2025-01-13,C0684,West,Headphones,Electronics,2500,1350,1,0.0,40,2500,2500.0,1390,1110.0,2025-01,None
O02286,2025-01-13,C1914,North,Pen Set,Stationery,250,110,1,0.05,150,250,237.5,260,-22.5,2025-01,Low (1-10%)
O03187,2025-01-13,C0054,North,Pen Set,Stationery,250,110,4,0.2,150,1000,800.0,590,210.0,2025-01,High (>10%)
O03346,2025-01-13,C2339,South,Pen Set,Stationery,250,110,1,0.05,40,250,237.5,150,87.5,2025-01,Low (1-10%)
O03701,2025-01-13,C0641,South,Headphones,Electronics,2500,1350,1,0.0,40,2500,2500.0,1390,1110.0,2025-01,None
O05195,2025-01-13,C2078,West,Keyboard,Electronics,1800,1000,4,0.05,70,7200,6840.0,4070,2770.0,2025-01,Low (1-10%)
O00359,2025-01-14,C2483,East,Laptop,Electronics,50000,41000,1,0.0,70,50000,50000.0,41070,8930.0,2025-01,None
O00510,2025-01-14,C2282,North,Headphones,Electronics,2500,1350,1,0.3,100,2500,1750.0,1450,300.0,2025-01,High (>10%)
O00577,2025-01-14,C0673,North,Backpack,Accessories,1800,850,4,0.1,40,7200,6480.0,3440,3040.0,2025-01,Low (1-10%)
O00744,2025-01-14,C0130,East,Keyboard,Electronics,1800,1000,1,0.3,40,1800,1260.0,1040,220.0,2025-01,High (>10%)
O00901,2025-01-14,C0282,North,Laptop,Electronics,50000,41000,2,0.1,70,100000,90000.0,82070,7930.0,2025-01,Low (1-10%)
O01347,2025-01-14,C1203,South,Pen Set,Stationery,250,110,2,0.2,100,500,400.0,320,80.0,2025-01,High (>10%)
